run,h,k,l,omega,x,y,module,Linv,polarization,scan_edge,I,sigma,Iraw_net,var_raw,raw_counts,bg_sum,nframes,weighted_omega,sum_pos,weighted_omega2
3,-4,-2,-5,34.761817,660.99332,109.20873,1,0.32547685,0.82771243,0,64.652671,5.5514301,164.41667,199.30972,186,0.19444444,5,5726.1792,164.41667,199445.73
3,-4,-2,-4,42.3417,636.47274,111.12456,1,0.28446289,0.83999477,0,12.063656,2.8045026,35.622951,68.582549,56,0.18032787,5,1509.4221,35.622951,63967.92
3,-4,-2,-3,52.176625,614.77341,112.21281,1,0.24708108,0.84970392,0,190.96355,7.7371265,656.71751,707.9713,688,0.27683616,5,34289.321,656.71751,1790421.4
3,-4,-2,-2,64.434193,596.96037,112.6398,1,0.21577598,0.85672271,0,180.60635,7.0077685,717.08427,774.1656,752,0.30898876,5,46190.704,717.08427,2975440.9
3,-4,-2,-1,78.607331,584.69296,112.6146,1,0.19395139,0.86096746,1,0,0,0,0,0,0,0,0,0,0
3,-4,-1,-9,7.3979864,756.29889,95.847523,1,0.4686916,0.77181838,0,-2.327816,3.1450455,-3.8333333,26.823148,15,0.16666667,5,21.269444,2.7444444,164.83819
3,-4,-1,-8,8.7906986,721.75841,101.94796,1,0.42017457,0.7931562,0,73.697412,6.7681442,139.11732,163.22893,154,0.13407821,5,1228.1872,139.11732,10856.259
3,-4,-1,-7,11.034052,688.81699,106.63971,1,0.37027394,0.81265317,0,108.23423,7.4555147,237.54545,267.7438,256,0.16477273,5,2651.4318,239,29439.21
3,-4,-1,-6,14.495158,657.05511,110.06298,1,0.3191274,0.83005824,0,180.53142,8.6606882,469.56667,507.45056,493,0.21111111,5,6826.2083,469.56667,99284.981
3,-4,-1,-5,19.783289,626.09119,112.31573,1,0.26683394,0.84515382,0,105.72061,6.0813553,334.85311,371.01385,357,0.19774011,5,6638.9308,334.85311,131664.31
3,-4,-1,-4,27.9685,595.54049,113.45838,1,0.21341315,0.8577558,0,157.09833,6.4423109,631.41379,670.45303,655,0.20689655,5,17679.043,631.41379,495073.33
3,-4,-1,-3,41.049056,564.92752,113.51066,1,0.15867583,0.86771356,0,24.959259,2.4388782,136.48889,177.87358,162,0.22777778,6,5606.3111,136.48889,230308.03
3,-4,-1,-2,62.96909,533.3499,112.41937,1,0.10165242,0.87490993,0,39.193891,2.3348376,337.33702,403.8356,378,0.35359116,8,21263.362,337.33702,1340399.3
3,-4,0,-10,-5.0760466,784.99637,90.111485,1,0.50596798,0.75395063,1,0,0,0,0,0,0,0,0,0,0
3,-4,0,-9,-5.4836351,748.02302,97.61356,1,0.45751122,0.7770697,1,0,0,0,0,0,0,0,0,0,0
3,-4,0,-8,-5.5211018,712.9058,103.52415,1,0.40717195,0.79860878,1,0,0,0,0,0,0,0,0,0,0
3,-4,0,-7,-5.0313907,679.07537,108.02116,1,0.35495085,0.81828333,1,0,0,0,0,0,0,0,0,0,0
3,-4,0,-6,-3.7420008,645.96146,111.22438,1,0.30070244,0.83584229,1,0,0,0,0,0,0,0,0,0,0
3,-4,0,-5,-1.1323096,612.87462,113.19579,1,0.2439666,0.8510681,1,-0.97941933,0.98935155,-3.4166667,11.911574,6,0.083333333,2,0,0,0
3,-4,0,-4,3.9547013,578.69247,113.9148,1,0.18344363,0.86377663,0,311.02341,8.2815763,1464.5085,1520.6303,1499,0.31073446,6,5835.161,1464.5085,23494.854
3,-4,0,-3,14.951721,540.45808,113.13415,1,0.11453739,0.87381725,0,10.22908,1.5219998,78.038674,134.82668,113,0.30939227,8,1236.8826,83.276243,18398.426
