run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
4,-4,1,0,9.8240117,144.31748,200.4852,0,0.34592802,0.88071723,0,521.65534,14.680697,1328.1111,1396.9951,1370,0.36111111,5,13034.183,1328.1111,127982.63,457.77018,12.623356,0.54728318
4,-4,1,1,14.119294,159.28058,182.15119,0,0.31535071,0.87926122,0,378.32005,11.986142,1054.8324,1116.8814,1093,0.34078212,5,14920.859,1054.8324,211145.31,331.98862,10.477766,-0.012326067
4,-4,1,2,18.772885,172.24835,162.87949,0,0.28803081,0.87490993,0,41.843024,4.1992588,127.10056,162.70244,149,0.19553073,5,2386.8226,127.10056,44840.016,36.718668,3.6892626,0.071995368
4,-3,-3,-7,15.707683,11.221396,515.59934,0,0.56713243,0.80944339,0,393.07357,17.238367,561.01676,605.3356,588,0.23463687,5,8788.7989,561.01676,137724.67,344.93534,14.663347,1.2169071
4,-3,-3,-6,21.095803,27.508013,495.55173,0,0.54919216,0.82676009,0,6.8577268,4.9814763,10.323699,56.237562,38,0.24277457,5,269.94509,12.843931,5674.3577,6.0178869,4.210634,0.63126137
4,-3,-2,-8,4.7963685,13.865727,491.07028,0,0.56916909,0.81766945,0,165.77038,11.453021,238.14607,270.71544,258,0.1741573,5,1132.264,240.26966,5349.0506,145.46911,9.7504752,0.72801904
4,-3,-2,-7,9.7521699,34.765287,471.55643,0,0.54340988,0.83795236,0,157.45587,11.025832,242.8011,289.07222,271,0.24309392,5,2369.2486,243.90055,23024.379,138.17285,9.6766645,0.012989511
4,-3,-2,-6,14.977874,53.314932,453.13266,0,0.51862681,0.85603857,0,127.50658,9.587688,210.46067,250.44047,235,0.21910112,5,3149.927,211.1236,47013.476,111.89133,8.2913699,0.56350331
4,-3,-2,-5,20.483138,69.549759,435.55003,0,0.49540593,0.8717105,0,346.88756,14.793808,610.37931,677.61356,651,0.35632184,5,12551.698,614.17241,256567.83,304.40555,13.33195,-0.97126598
4,-3,-1,-8,-2.3765384,25.320807,449.20463,0,0.56038292,0.83484501,0,393.53629,16.975749,586.2809,639.5873,619,0.29213483,5,-1398.6404,587.79775,3362.1531,345.34139,14.329483,1.6360206
4,-3,-1,-7,2.0926883,48.34158,431.06208,0,0.52872492,0.85566064,0,8.3575524,4.7870537,13.525424,60.017811,42,0.25423729,5,41.00565,17.118644,102.86088,7.3340346,4.1365217,0.30212895
4,-3,-1,-6,6.8594132,69.302984,413.76384,0,0.49754573,0.87420855,0,203.95415,11.503973,358.35593,408.56373,389,0.27118644,5,2484.3856,365.31638,16909.355,178.97666,9.8112205,0.90418282
4,-3,-1,-5,11.965619,88.255544,397.09178,0,0.46740702,0.89027115,0,41.316766,5.6616965,78.696133,116.29132,102,0.20994475,5,940.21271,78.696133,11245.289,36.256858,4.8695102,0.54883206
4,-3,-1,-4,17.448721,105.16569,380.85994,0,0.438943,0.90366433,0,147.12427,9.0059868,302.88889,343.7642,328,0.22222222,5,5248.1361,302.88889,90967.858,129.10652,7.9090198,-0.071976664
4,-3,0,-5,1.2590286,96.784669,359.64998,0,0.4528327,0.89655852,0,113.22845,8.5173515,224.17978,284.37464,261,0.3258427,5,282.54213,225.49438,358.73104,99.361792,7.6024864,-0.40836608
4,-3,0,-4,5.9118978,116.75456,343.81914,0,0.4174825,0.91005825,0,1139.2117,23.171281,2483.3352,2551.3024,2525,0.36871508,5,14538.837,2483.3352,85275.717,999.69673,20.02798,0.69635169
4,-3,0,-3,11.008826,135.02906,328.10167,0,0.38361244,0.92071425,0,331.62949,12.276043,795.94915,868.12286,840,0.38983051,5,8765.3856,795.94915,96586.272,291.01608,10.774138,0.030855218
4,-3,0,-2,16.630493,151.44896,312.35885,0,0.3519835,0.92840937,0,234.85013,9.9064594,619.45251,682.76514,658,0.33519553,5,10426.708,625.51397,173824.61,206.08893,8.7974939,-0.1926848
4,-3,0,-1,22.849134,165.74104,296.46504,0,0.32351297,0.93305991,0,139.66757,7.5472974,402.82222,473.82568,446,0.37222222,5,9161.2833,402.82222,208368.88,122.56301,6.613231,-0.077617357
4,-3,1,-2,-0.17190742,159.18667,274.49143,0,0.33296156,0.92187339,0,363.66163,11.907648,1006.8729,1086.9419,1056,0.43093923,5,-205.94751,1008.8398,78.732044,319.12537,10.252925,0.9695969
4,-3,1,-1,4.2325543,178.26118,258.20035,0,0.29487002,0.92648842,0,471.32747,12.633463,1480.9218,1575.6639,1539,0.51396648,5,6295.4958,1480.9218,26815.496,413.60578,11.072065,0.2065049
4,-3,1,0,9.2724083,195.83647,241.42905,0,0.25907664,0.92803234,0,64.185175,4.8761894,229.9162,305.09201,276,0.40782123,5,2124.0936,229.9162,19633.616,56.324659,4.0340926,1.8981159
4,-3,1,1,15.160852,211.47445,224.05222,0,0.22674657,0.92648842,0,458.33948,10.804435,1872.779,1948.9587,1920,0.42541436,5,28467.366,1872.779,432886.76,402.20838,9.596854,-0.38527194
4,-3,1,2,22.139253,224.4568,205.96074,0,0.19948622,0.92187339,0,346.39611,8.8614097,1600.779,1676.9587,1648,0.42541436,5,35436.7,1600.779,784667.87,303.97429,7.8044639,0.018172765
4,-2,-4,-9,7.6371352,7.6634584,651.10739,0,0.52678746,0.76008459,0,15.749769,4.5169127,22.724832,42.475294,34,0.10067114,5,176.02181,23.228188,1337.1867,13.820954,3.4319697,1.5780373
4,-2,-4,-8,13.571095,25.470529,624.13551,0,0.51337199,0.78096557,0,201.71473,12.082114,306.85792,337.81997,326,0.16939891,5,4162.6052,306.85792,56493.017,177.01149,10.370768,0.7643407
4,-2,-4,-7,19.748321,40.509217,599.56622,0,0.50111477,0.80005945,0,228.06311,12.482683,364.11628,397.17875,384,0.1744186,5,7167.4535,364.11628,141136.62,200.13308,10.722469,0.4792252
4,-2,-3,-10,-2.5025791,9.5572771,620.11784,0,0.53619016,0.77314254,0,330.68244,15.788232,476.81714,518.26093,502,0.22285714,5,-1219.3614,476.81714,3170.3782,290.18501,13.85844,0.41643456
4,-2,-3,-9,2.8862837,32.326775,594.23045,0,0.51448216,0.79710062,0,71.223428,7.832292,110.34831,147.25275,133,0.20224719,5,334.7809,118.67416,951.59129,62.500965,7.0832187,-0.4305812
4,-2,-3,-8,8.6088214,52.467554,570.65639,0,0.49311838,0.81939038,0,100.50249,8.6102024,167,204.69444,190,0.2,5,1453.8819,168.86111,12529.276,88.194327,8.0568853,-1.5534385
4,-2,-3,-7,14.691056,70.088347,548.93217,0,0.47274783,0.8397273,0,12.935909,4.1951461,22.977654,55.527949,43,0.17877095,5,395.27235,26.988827,5790.9298,11.351697,3.682687,-0.083722084
4,-2,-3,-6,21.141872,85.207416,528.68842,0,0.45405761,0.85786032,0,854.84039,21.758305,1615.0674,1689.9014,1661,0.41011236,5,34114.48,1615.764,720407.22,750.15133,19.163908,-0.23623788
4,-2,-2,-8,1.8540867,69.266529,524.41161,0,0.48033581,0.84834392,0,200.02733,11.16554,353.27778,388.87809,375,0.18888889,5,638.09722,353.27778,1180.0382,175.53074,9.8058581,-0.2829647
4,-2,-2,-7,7.5295437,89.614984,504.67827,0,0.4522357,0.86956873,0,167.86447,10.01142,322.77348,370.56934,352,0.25414365,5,2427.7942,323.76243,18234.627,147.30674,8.9675086,-0.37835868
4,-2,-2,-6,13.69192,107.78327,486.10791,0,0.42532525,0.88847125,0,405.98294,14.50212,848.06667,917.71407,891,0.38333333,5,11601.217,848.06667,158752.98,356.26375,12.889144,-0.5109904
4,-2,-2,-5,20.389939,123.68851,468.44841,0,0.40038853,0.90483391,0,13.17475,3.8972458,29.773481,77.569335,59,0.25414365,5,605.81354,29.773481,12335.797,11.561288,3.1459281,1.4469087
4,-2,-1,-7,-1.5714842,98.723464,464.33887,0,0.44408373,0.88807649,0,259.86363,11.984112,519.67403,574.35808,553,0.28729282,5,-844.17265,519.67403,1418.5542,228.03912,9.8551009,2.6283126
4,-2,-1,-6,3.812615,119.847,446.92602,0,0.40977682,0.90744071,0,313.27326,12.458831,693.73596,761.19571,735,0.36516854,5,2606.0098,693.73596,9816.3473,274.90787,10.940907,-0.2012335
4,-2,-1,-5,9.8010342,139.16628,430.21482,0,0.37655112,0.92419404,0,14.068032,3.7418747,34.52809,84.344527,65,0.26966292,5,369.37921,37.955056,3596.7767,12.345173,3.8711396,-2.2400156
4,-2,-1,-4,16.517588,156.53543,414.01644,0,0.34525309,0.93815237,0,3.6441375,3.1261953,9.9021739,72.161212,49,0.35869565,5,196.58288,11.788043,3280.5166,3.1978538,21.699116,-23.360387
4,-2,0,-2,15.098453,200.9422,346.55463,0,0.25902265,0.96391741,0,303.21715,9.4405645,1128.3812,1234.2414,1194,0.59116022,5,17139.521,1130.7127,259862.16,266.0833,8.3066465,0.015121294
4,-2,0,-1,23.679839,216.31924,330.96714,0,0.22764409,0.96875634,0,823.03815,14.123,3502.5,3612.1875,3570,0.61363636,5,83053.312,3504.75,1968243.7,722.24378,12.567027,-0.55030505
4,-2,1,-1,-2.6653941,223.26612,294.10869,0,0.21137391,0.96191835,0,89.112727,5.054805,405.53333,529.15444,482,0.68888889,5,-1089.5083,405.53333,2945.1792,78.199429,4.5103001,-0.52126262
4,-2,1,0,3.1602485,243.13166,277.79425,0,0.17047969,0.96352507,0,5469.7086,31.215618,30913.955,31126.095,31044,1.150838,5,99523.034,30913.955,322393.53,4799.8541,27.220254,0.16319188
4,-2,1,1,11.212045,261.07892,260.97255,0,0.13349086,0.96191835,0,93.525446,3.9387686,673.93258,805.55328,755,0.73033708,5,7579.8483,673.93258,85335.096,82.071738,3.4490971,0.20620842
4,-2,1,2,23.299189,275.1673,243.59871,0,0.10447449,0.95711495,0,913.09118,10.064838,8365.0391,8502.0032,8449,0.74301676,5,194251.53,8365.0391,4512184.9,801.26836,9.0480122,-1.1754933
4,-1,-5,-9,6.7688358,44.647935,763.32964,0,0.43310427,0.73119484,0,78.759568,7.6638037,132.96703,167.40563,154,0.18131868,5,896.70879,132.96703,6061.2005,69.114182,6.820416,-0.10239303
4,-1,-5,-8,13.891801,56.543351,729.81165,0,0.43018441,0.75090503,0,0.79567765,3.0644231,1.3888889,28.612654,18,0.14444444,5,77.555556,5.6111111,1072.1285,0.69823402,2.6450141,0.37894837
4,-1,-5,-7,21.268301,65.75285,699.79602,0,0.42869792,0.76896586,0,177.55262,10.317214,318.48045,342.48081,333,0.12849162,5,6742.1285,318.48045,142775.56,155.80843,9.1463457,-0.3501667
4,-1,-4,-9,2.8992337,72.140115,690.15884,0,0.42309338,0.77660853,0,5.0060718,3.0659158,9.1888889,31.670309,23,0.12222222,5,29.170833,11.605556,74.044792,4.3929971,2.687304,0.040508113
