h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,6,1,79.26552566,7.074283663,77.79152398,-7.04389681,3.663735981e-15,0.0179532535,-0.1975011182
0,6,2,9.074394522,4.049910554,6.197156434,-1.9881222,1.33226763e-15,0.06069476446,-0.7088452213
0,6,3,10.97089859,4.562900138,21.73327974,3.72314097,-1.776356839e-15,0.04778200194,2.352559083
0,6,4,6.236988202,4.191966306,8.823746083,2.372320416,-3.552713679e-15,0.05679368461,0.6164612799
0,6,5,65.60606638,6.782951271,68.11635612,6.591322313,-1.598721155e-14,0.02004724402,0.3554276331
0,6,6,75.9710917,7.426219651,70.51460967,6.706352829,-4.884981308e-15,0.01657187982,-0.7024228276
0,6,7,60.97495909,4.526780159,60.08395011,-6.190505071,4.662936703e-15,0.04195002214,-0.1824938269
0,6,8,29.50682211,3.93928753,23.98783458,3.911491294,-1.110223025e-15,0.06134377135,-1.366924883
0,6,9,2.875665336,3.718623355,1.627341806,1.018793666,6.661338148e-16,0.07227730228,-0.3356047693
0,6,10,53.40376932,9.342115293,60.36028466,-6.204724244,5.551115123e-15,0.0111306659,0.733926081
0,7,1,1.581187569,3.970123475,0.2961061606,-4.440892099e-16,-0.4345808318,0.0634351509,-0.3236649183
0,7,2,51.75426494,6.788621357,61.88253981,4.218847494e-15,6.282477042,0.02062024311,1.45439499
0,7,3,15.5766558,4.577380264,12.36326328,2.220446049e-15,2.808105397,0.04723491737,-0.6983857329
0,7,4,11.3239295,4.464734509,12.73967183,1.776356839e-15,2.850532296,0.0498771464,0.3161804544
0,7,5,44.61193663,6.290465985,40.70031636,-2.664535259e-15,-5.095018178,0.02417726887,-0.6082194552
0,7,7,3.300220595,3.028559604,4.219943591,-2.220446049e-16,1.640590408,0.108909024,0.3035211634
0,7,8,29.50884163,7.230852933,32.21459094,-8.881784197e-16,-4.532868872,0.01884341788,0.371421805
1,0,1,1090.265781,20.27723249,1108.724363,-1.776356839e-15,-26.59246772,0.0006752296215,0.4796495994
1,0,2,160.0982573,8.316673412,259.8641761,12.87419408,0,0.01084182859,10.38803669
1,0,3,1006.876184,16.22885453,962.8631995,-8.881784197e-15,-24.7815884,0.0008504881006,-1.283556347
1,0,4,123.7647952,3.329956534,119.7141779,8.738152887,-2.664535259e-15,0.04020171195,-0.812163524
1,0,5,1.986089422,2.085183081,0.4241060323,0,-0.5200966664,0.2298037769,-0.7487813042
1,0,6,640.283187,13.31691129,586.8538262,-19.3469191,1.021405183e-14,0.00183047452,-2.285924183
1,0,7,41.19262805,2.18377537,41.5522974,1.776356839e-15,5.148069077,0.158830393,0.1433409344
1,0,8,65.74920726,2.24493275,66.76874572,6.525795412,-2.664535259e-15,0.1119772491,0.3411681703
1,0,9,31.62032379,1.78333582,39.40808403,3.552713679e-15,5.013482526,0.2450892066,3.855446362
1,0,10,151.3927337,3.867715775,144.8712613,9.612535704,-1.776356839e-14,0.0281001417,-1.093200742
1,0,11,84.92768322,3.537609266,82.5245729,1.931788063e-14,7.255017895,0.05261463271,-0.5512225561
1,0,12,76.4483845,3.925808224,73.766448,-6.859244461,5.773159728e-15,0.04837487006,-0.5898728337
1,0,13,19.91171887,2.509346952,17.87199241,5.107025913e-15,-3.376240156,0.1502934249,-0.790754952
1,0,14,38.32341077,3.759432394,32.12515893,4.526572574,-1.243449788e-14,0.06470336237,-1.576640371
1,0,15,75.48974565,5.136258443,84.96989056,-1.043609643e-14,-7.361721348,0.03173597464,1.688849292
1,0,16,1.255911692,3.225135325,2.820772617,-1.34131532,-4.440892099e-15,0.0961268803,0.4851747272
1,1,0,100.3366139,5.044490015,74.66762314,-2.664535259e-15,-6.901015593,0.02897914696,-4.369699701
1,1,1,193.8228286,3.735625647,203.7089322,11.1497685,-2.368747437,0.0209356305,1.430435169
1,1,2,158.4066339,3.365484726,143.4018729,3.522569631,8.891296315,0.02948992781,-2.576712336
1,1,3,1529.877764,18.21813182,1463.177698,-12.10233577,-28.04938363,0.0004101094097,-1.350753595
1,1,4,216.7217216,3.376238458,205.0334828,10.73146759,-3.950787475,0.01863222329,-1.595443453
1,1,5,594.0905324,7.282768275,581.0445623,-0.2414815118,-19.24940878,0.002697687058,-0.6775980745
1,1,6,25.99147959,2.106487233,30.25306165,2.350502759,-3.710922685,0.1982046711,1.89726414
1,1,7,423.8718808,5.486274354,420.6860895,5.819907042,15.31169288,0.005213768675,-0.2300346183
1,1,8,286.0832424,3.984027586,271.7693361,-6.431194191,11.48816287,0.01116922393,-1.512758732
1,1,9,284.4095137,4.164970615,284.5274771,-4.165004216,12.81125282,0.011093008,0.01242430038
1,1,10,152.7565006,2.628959179,144.7371979,-4.662693,-8.400870743,0.03582621706,-1.517878748
1,1,11,15.56397848,1.169686402,17.19902809,-2.086473705,2.572236256,0.6304454878,1.298239157
1,1,12,2.818262233,1.065040286,3.787381664,-0.03100847551,1.553924559,0.8760716471,0.9070831801
1,1,13,134.5109192,3.894406286,132.0070602,5.061127233,-7.653814275,0.03179623046,-0.4464755607
1,1,14,24.53575264,2.211085889,18.47277747,1.712217583,2.974978546,0.184138201,-2.60170312
1,1,15,61.58830914,4.490643486,64.82376421,-0.5098084926,-6.409802309,0.04240938441,0.6662946987
1,1,16,44.49501277,7.514946454,49.89155171,2.246315354,-5.174511699,0.01716554143,0.707040137
1,2,0,2.668821812,1.249280955,1.796127226,3.552713679e-15,-1.070324319,0.6381159739,-0.6971272992
1,2,1,91.00963931,2.628053093,93.27213905,-5.622780638,-5.279636831,0.06963234509,0.5970271057
1,2,2,404.0908906,6.784193719,436.0727448,-16.36913531,3.191313527,0.005181728732,2.302189004
1,2,3,712.4747307,10.66221929,665.7686567,16.8881876,11.80785079,0.001752721992,-1.955374203
1,2,4,228.5451989,3.901433921,230.5894363,12.12340755,-0.3099017031,0.01606921234,0.2591365253
1,2,5,568.5636031,8.885826099,543.3763826,-6.104952691,17.58699325,0.002703462455,-1.309605273
1,2,6,21.23289868,2.400685434,23.09923602,-0.4312463257,-3.814056976,0.1620996984,0.7514174031
1,2,7,132.4395162,3.36054659,130.203721,-4.816011873,-7.736389175,0.03692833603,-0.4296471035
1,2,8,4.571722496,1.455906714,4.791791004,-0.4746263798,-1.682557183,0.4676229684,0.1504893676
1,2,9,321.049954,5.081008407,317.2171312,1.247427527,-14.16930787,0.008432953778,-0.3519723866
1,2,10,10.28920185,1.608388885,13.15478683,-2.510055348,1.445656412,0.3728288714,1.749718008
1,2,11,10.81565457,1.597901335,9.217718272,0.8945830238,2.25364286,0.3761421713,-0.980021211
1,2,12,33.82863997,2.362537799,32.21412409,-4.532502036,0.0550249162,0.151251057,-0.6279015125
1,2,13,78.31912454,4.284431455,77.00968006,5.016028469,4.894616439,0.04188157212,-0.267977652
1,2,14,60.06422244,4.338028829,56.0507048,5.865748335,1.15883187,0.04531975244,-0.8544151505
1,2,15,14.47323603,5.786080544,15.28612165,-3.114537326,0.2221522465,0.02970245109,0.140095951
1,3,0,315.5012774,9.630023339,306.315898,-8.881784197e-16,-13.97756801,0.005484732426,-0.6802598282
1,3,1,453.4879867,11.06892444,433.6901039,3.911648538,16.16516001,0.003250898068,-1.128808903
1,3,2,69.23700091,2.718117378,64.46228707,-4.767173303,4.288236707,0.08545147496,-1.39574837
1,3,3,567.9231376,9.723231406,542.662614,-12.06298206,14.16340325,0.002598588835,-1.287689431
1,3,4,118.1473398,3.766911947,110.8243024,-5.603072371,6.268238469,0.03737962807,-1.415822267
1,3,5,32.851892,1.78461281,30.3164722,1.653904649,4.074414548,0.2406064239,-1.243665214
1,3,6,72.17675601,2.203478699,65.5224409,-1.918351128,-6.173412728,0.104779473,-2.153979011
1,3,7,204.960966,3.87186026,199.3657923,11.075597,-2.118806252,0.01893960926,-0.7700148162
1,3,8,51.66146734,2.120063259,54.10231832,4.070386481,-4.23546238,0.144997204,0.9294394028
1,3,9,433.2945139,9.000623555,426.6160375,-2.81941612,-16.25276439,0.004000304878,-0.4224000344
1,3,10,38.12695917,2.831606015,40.21905857,5.043151584,0.4678457359,0.1072237597,0.6850587719
1,3,11,57.73075009,2.532119292,57.65234455,-5.611721916,2.297829275,0.1062565598,-0.02555786682
1,3,12,63.83569017,3.429504443,61.94539782,-1.085731692,6.191186975,0.06481302904,-0.4812382476
1,3,13,82.71976713,6.484820913,84.14506426,2.001846242,7.047089293,0.02074206558,0.205272802
1,3,14,33.74970617,4.657042552,29.27340502,-3.527200015,-2.495963192,0.04402729322,-0.9392480225
1,3,15,0.1789374675,4.428291516,1.020075091,0.5303033495,-0.6077795623,0.05099492483,0.1899461682
1,4,0,8.277282893,3.150754525,4.864344197,1.776356839e-15,1.761404064,0.1001109615,-1.079864598
1,4,1,178.7556224,5.009080312,168.5944849,-2.006346876,-10.17380984,0.0185704122,-1.384691741
1,4,2,39.05639981,2.146682678,39.03499758,-4.741510708,-1.554066819,0.1671930839,-0.008751208436
1,4,3,173.4444062,4.357344365,179.3222223,-2.041509795,-10.49792206,0.02171028608,0.8660615763
1,4,4,24.37553887,1.982751858,22.54799288,-0.2692133627,-3.782715674,0.2239112527,-0.864781268
1,4,5,63.0800696,2.361753024,62.53313025,-5.545236631,3.02238711,0.109181474,-0.1807230908
1,4,6,43.18134176,1.711972562,38.08239988,2.604467807,4.184042932,0.2169660743,-2.375067614
1,4,7,328.1166681,7.862380881,324.8085616,14.24061378,2.090979879,0.006300739611,-0.2625882267
1,4,8,50.34716922,2.469747534,49.79908563,-0.1995746338,5.63229064,0.1193174101,-0.1893209637
1,4,9,4.283918408,1.266517982,4.500799616,0.4039912616,1.645436631,0.6170612902,0.170367235
1,4,10,33.12111252,2.693266218,30.95962426,-3.551305414,-2.671085061,0.1213446412,-0.7529448773
1,4,11,276.2634816,8.920708347,289.0672165,-12.97739628,3.994765542,0.006744525581,1.051507508
1,4,12,47.53072823,3.340930416,52.11509252,2.947722123,-4.954860499,0.07578588546,1.262040481
1,4,13,34.83497561,4.701603045,38.73298307,4.67518059,-1.687336658,0.04310865259,0.8093286034
1,4,14,43.19689577,7.799376157,38.30277088,4.131321072,2.713339201,0.01599753176,-0.61901552
1,5,0,17.6056934,4.766692191,15.24841472,-1.776356839e-15,3.118596542,0.04347765816,-0.4915231747
1,5,1,151.4339945,4.926336092,148.2972751,4.994810681,-8.344930599,0.02226783838,-0.4680741964
1,5,2,103.4823176,3.631731919,99.34017947,7.696256864,-2.031781336,0.04380737274,-0.8669582453
1,5,3,405.4398794,11.772818,418.6868204,-1.593713468,-16.26358427,0.003489882604,0.7825660674
1,5,4,9.364991754,2.605540706,9.771323498,1.633092964,-1.888197333,0.1456075629,0.1550503387
1,5,5,37.70231426,3.683094574,53.20471402,-2.342849668,5.333454696,0.06736500061,4.023611965
1,5,6,71.87407439,3.67905678,73.48730913,-4.750614452,4.929792934,0.05499112331,0.3783065506
1,5,7,159.7150981,4.758197722,162.6976667,-2.275338538,9.929430939,0.0219305619,0.4416877187
1,5,8,-0.3040897608,1.230087229,0.05227195706,0.104210475,-0.1499331034,0.6608884791,0.2897044288
1,5,9,69.86890057,3.704757013,76.07605221,-1.77990338,-6.73455828,0.05519153224,1.45823857
1,5,10,13.93048341,5.129914395,14.09147162,2.666392056,-1.370432011,0.03774913357,0.03127862032
1,5,11,60.6859031,5.699617465,59.65246954,3.190272477,5.279139176,0.0279328515,-0.1727190327
1,5,12,17.44452696,4.070092852,19.17711687,-3.242397071,1.310833625,0.05938405837,0.422212141
1,5,13,14.81747641,6.251932656,21.50669235,2.67666656,2.55982701,0.02545548532,1.067249369
1,6,0,32.49018674,5.141557057,32.31461955,-2.220446049e-15,4.539900858,0.03651546104,-0.03354916883
1,6,1,136.5542922,6.528064064,130.7093281,8.273083462,3.863193094,0.01683558718,-0.758395908
1,6,2,100.1915915,6.352641364,103.5235259,8.042315836,1.161832961,0.02024677916,0.4741048616
1,6,3,65.53038471,4.700599972,70.90888739,-3.695628397,5.618627471,0.03852013605,1.055614374
1,6,4,75.76221616,4.872769098,68.13085459,-5.63922068,-3.413790748,0.03459034564,-1.419317252
1,6,5,113.4044226,6.126241061,119.8991645,-8.724486247,-0.5971955515,0.02036438553,0.9268245949
1,6,6,10.71880714,3.018719673,15.15003214,-2.640516813,-1.640294367,0.1085060967,1.459657196
1,6,7,52.67479974,3.340433189,54.64606845,4.407339253,-3.928022346,0.07322968179,0.5334446978
1,6,8,53.20021734,4.001396886,52.04859828,5.532908249,1.607552074,0.0538839153,-0.267324288
1,6,9,3.229159425,1.907548364,0.5855195937,-0.5826197048,0.1844086946,0.2741133779,-1.384099789
1,6,10,-1.241363335,2.644419447,1.243386088,-0.05008550388,-0.8891230761,0.1430010794,0.9396200084
1,6,11,21.85691812,6.142448846,15.64863876,-3.158783738,-0.0547537106,0.02620570468,-1.005007198
1,7,0,169.8553725,11.26182886,161.5189549,6.661338148e-15,10.14982591,0.006544735962,-0.6744123758
1,7,1,52.30524665,4.767650738,54.49210192,-5.509481775,2.097953166,0.03969396193,0.4356946896
1,7,2,17.38549963,4.762178853,16.27916815,-1.092073827,-3.031575098,0.0435722681,-0.230935317
1,7,3,35.9754126,5.079681346,28.18303328,2.977323656,3.018453619,0.03708102632,-1.500534407
1,7,4,60.04680729,5.524132818,56.94616116,0.1509720695,-6.024801772,0.0296198875,-0.533634509
1,7,5,49.79803824,4.798192093,50.74644949,4.566089739,3.393758066,0.03959689174,0.1887240487
1,7,7,17.44635794,4.341124029,15.04455179,-1.046330036,-2.915615084,0.05230318187,-0.5492903982
1,7,8,0.9356649478,4.632683979,0.08890312313,-0.2195976761,0.09208947057,0.0465927887,-0.1827766119
1,7,9,52.43435788,6.19106669,58.27707874,-0.7253265135,-6.053412887,0.02450756193,0.9146715964
2,0,0,4370.34985,125.3034492,4312.562377,-52.446262,6.661338148e-15,3.040353109e-05,-0.31863664
2,0,1,739.9388539,12.92546064,782.5497559,1.776356839e-15,-22.34101116,0.001515550864,1.658845678
2,0,2,265.8792394,6.091520807,228.4614594,12.07127986,0,0.00992760604,-3.728209291
2,0,3,74.44642876,2.739287253,94.36729227,1.776356839e-15,7.758139639,0.08005290964,5.636333998
2,0,4,240.0123117,4.187436971,258.1013783,12.8304535,-3.552713679e-15,0.01441338658,2.171696716
2,0,5,749.6796593,11.98544248,757.5578835,1.065814104e-14,21.98136999,0.001539720642,0.309135798
2,0,6,119.0691917,3.300583739,124.4057471,-8.907730457,3.552713679e-15,0.04227690169,1.097267695
2,0,7,8.689716611,1.563838028,7.441758597,0,-2.178635792,0.3978437765,-0.7871477506
2,0,8,122.2386265,3.524744926,131.2863557,9.150748975,-5.551115123e-15,0.03865200301,1.778793749
2,0,9,31.29483014,2.005111163,29.44580709,-1.33226763e-14,-4.333697331,0.2040025076,-0.8351415267
2,0,10,53.44492742,3.335338921,46.52337409,-5.447314469,5.329070518e-15,0.07301823067,-1.870334228
2,0,11,94.96612142,3.810745535,100.7366665,6.439293543e-15,8.015684837,0.04417255875,1.21281098
2,0,12,27.2280303,2.990055221,24.78119873,-3.975648688,1.776356839e-15,0.1040836242,-0.7893966486
2,0,13,17.86253766,3.722383685,19.25674151,6.217248938e-15,-3.504598298,0.07070483909,0.3707241238
2,0,14,19.8803699,3.754178297,17.85364155,3.374506359,-4.440892099e-15,0.06920625534,-0.5331730849
2,0,15,176.868772,9.573263007,185.4012313,-8.659739592e-15,-10.87434613,0.008347128992,0.7795478667
2,1,0,4768.412112,78.03868036,4673.049435,54.59426619,-1.287858709e-14,3.765908946e-05,-0.5852121642
2,1,1,81.09537682,1.398268251,75.17564016,-1.939223972,6.647363892,0.1270007664,-2.109626434
2,1,2,842.2752306,10.41595715,822.9518947,9.669413645,20.7699843,0.001338729357,-0.7070147867
2,1,3,247.5724197,3.510791691,256.0758756,-12.76718414,-0.5724100909,0.01481732805,1.035095476
2,1,4,1448.537638,16.81961532,1433.109983,-24.96207834,-17.0573006,0.0004605462426,-0.3310827425
2,1,5,21.22263553,1.969087469,26.22365318,4.021255589,0.7451864585,0.2334994305,2.416580684
2,1,6,278.0473735,4.218204964,272.8947753,-11.62506257,6.238099485,0.01144524082,-0.5512374955
2,1,7,195.0052658,3.810108057,194.3192043,8.666486579,-6.987948012,0.02051649382,-0.09826856518
2,1,8,10.02247574,0.8030294237,10.79563961,-0.6129384458,2.5514527,1.360060751,0.9016764024
2,1,9,75.63281821,1.905230219,75.01500732,-6.917021076,-0.0200491191,0.1139186611,-0.2085225348
2,1,10,63.52096452,1.960126824,62.41142692,1.381618686,-6.156133439,0.1338057782,-0.4058629972
2,1,11,113.9960376,3.337362977,114.7608667,-2.750875456,8.101154945,0.04379515007,0.1600580108
2,1,12,112.6815028,3.660040798,108.2344034,6.810977541,4.758565531,0.04028472014,-0.8925797209
2,1,13,120.2357037,4.30933273,130.5755629,9.124124917,-0.1822034825,0.03166429708,1.839922599
2,1,14,56.60519517,5.558497067,53.82323228,5.727925498,-1.232904025,0.02960276965,-0.4786493861
2,1,15,23.82214026,2.878697805,26.07983713,-2.397767771,-3.299209189,0.1136667697,0.7611712729
2,2,0,2.424176236,1.022549202,3.963796966,1.590019849,0,0.9515690933,1.501875435
2,2,1,431.3198617,6.389822933,400.3105013,8.903348927,13.26852705,0.004801621538,-2.148754358
2,2,2,1502.71773,22.17435896,1454.801245,13.37359533,-27.36857296,0.000396189181,-0.9537537507
2,2,3,150.9312017,3.393500569,136.6675616,-5.445512597,-7.583851594,0.03123238202,-2.520768284
2,2,4,122.405956,2.903080477,113.6963315,-7.362456735,4.279168511,0.04563548493,-1.860590372
2,2,5,6.991467316,1.191619717,10.19773372,-0.7953208654,-2.423162542,0.6830833904,2.649942598
2,2,6,366.2344014,5.659093641,358.1057962,-11.41341354,9.906497554,0.006547064289,-0.6577174035
2,2,7,151.4009217,3.217960983,152.0174929,7.65841707,-6.18930153,0.03227338078,0.1107657452
