run,h,k,l,omega,x,y,module,Linv,P,edge,Iunscaled,sigmaunscaled,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2,Iscaled,sigmascaled,normalized_residual
3,-4,4,0,26.518182,228.1772,110.06021,0,0.41569827,0.79359259,0,76.984911,6.7916108,146.96875,168.10645,162,0.23125,5,3913.8125,147.8125,103647.54,72.37817,6.6071477,-0.77264607
3,-4,4,1,19.575566,226.50808,109.69726,0,0.41822156,0.79231416,0,147.50349,9.0956585,279.44304,296.92742,292,0.20253165,5,5483.1772,279.44304,107621.45,138.67695,8.1326937,1.5500107
3,-4,4,2,12.818987,221.04234,109.25055,0,0.42672395,0.7884956,0,64.333236,6.4076117,118.87421,140.1835,134,0.2327044,5,1550.5629,121.96226,19729.638,60.483566,6.0516967,-0.069320735
3,-4,4,3,6.3906642,211.98672,108.65419,0,0.44074572,0.78218711,0,112.83838,8.2959329,200.25316,216.75821,212,0.1835443,5,1277.1899,200.25316,8173.5222,106.08618,7.8059592,0.20204884
3,-4,4,4,0.37446396,199.63742,107.80855,0,0.45960015,0.7734724,0,57.637757,6.2603243,97,111,107,0.15625,5,33.45,97,23.8625,54.188741,5.4036488,1.8216102
3,-4,5,-10,65.809344,13.112977,85.247889,0,0.691313,0.64336328,0,101.60427,11.242246,94.556962,109.46349,105,0.15822785,5,6328.443,96.227848,416200.23,95.524319,10.759278,-0.3372347
3,-4,5,-9,63.67208,40.293706,91.005516,0,0.66518707,0.66085907,0,1.9746313,3.4742585,1.9617834,11.913911,9,0.10828025,5,269.82325,4.2738854,17035.324,1.8564703,3.7230007,-1.0808386
3,-4,5,-8,61.12692,64.655535,95.574372,0,0.63953869,0.67736679,0,93.587827,10.032137,99.123457,112.90184,109,0.15432099,5,6056.2747,99.123457,370038.47,87.987575,8.5372006,1.8775628
3,-4,5,-7,58.149385,86.355091,99.139329,0,0.61489057,0.69260191,0,16.133042,4.9064359,18.171975,30.542456,27,0.14012739,5,1163.0303,19.993631,67654.186,15.167648,5.0368461,-0.66918721
3,-4,5,-6,54.722395,105.45394,101.85552,0,0.59179217,0.70631337,0,26.420881,5.3354493,31.533742,40.550706,38,0.10429448,5,1774.2071,32.435583,97051.475,24.839868,5.0196711,0.15965882
