x,y,z,height,multiplicity
0.5375,0.4625,0.0,51.84897274662683,6
0.45416666666666666,0.45416666666666666,0.10833333333333334,49.41800103607244,12
0.4125,0.5166666666666667,0.9166666666666666,9.835497926695968,24
0.5333333333333333,0.5916666666666667,0.85,8.420058912503594,24
0.5375,0.5375,0.7583333333333333,7.282227975226262,12
0.5958333333333333,0.5958333333333333,0.9083333333333333,6.8998755225121515,12
0.9041666666666667,0.5083333333333333,0.13333333333333333,6.578649256364632,24
0.36666666666666664,0.49166666666666664,0.8166666666666667,6.365275054656998,24
0.9625,0.48333333333333334,0.11666666666666667,6.336671347719255,24
0.5041666666666667,0.7833333333333333,0.3333333333333333,6.2077422901858235,24
0.3541666666666667,0.8375,0.825,6.188864699325071,24
0.18333333333333332,0.49166666666666664,0.275,5.868365292621841,24
0.32916666666666666,0.5208333333333334,0.225,5.700918281401091,24
0.0375,0.4708333333333333,0.0,5.556477032082047,12
0.4625,0.3458333333333333,0.7583333333333333,5.362404591727804,24
0.7208333333333333,0.5041666666666667,0.5916666666666667,5.326622931404473,24
0.4666666666666667,0.14583333333333334,0.7083333333333334,5.315232595154805,24
0.5708333333333333,0.425,0.6416666666666667,5.314767014070727,24
0.24583333333333332,0.7541666666666667,0.2916666666666667,5.075732245935198,12
0.49166666666666664,0.24583333333333332,0.5416666666666666,5.063499876268543,12
0.30833333333333335,0.49583333333333335,0.5416666666666666,4.7609966452402785,24
0.5958333333333333,0.4041666666666667,0.4083333333333333,4.339266623043152,12
0.5916666666666667,0.9291666666666667,0.5,3.2839652697612385,12
0.25833333333333336,0.4625,0.0,2.9465905575487774,12
0.6666666666666666,0.3333333333333333,0.35833333333333334,2.7844008842381966,4
0.39166666666666666,0.6083333333333333,0.0,2.5435134138942015,6
0.3333333333333333,0.6666666666666666,0.24166666666666667,2.5185985182023667,4
0.6625,0.30416666666666664,0.3333333333333333,2.4762973488625675,24
0.37916666666666665,0.6208333333333333,0.0,2.42477319656297,6
0.6541666666666667,0.30833333333333335,0.725,2.364360961026781,12
0.725,0.45416666666666666,0.0,2.3296023613829058,12
0.7291666666666666,0.4625,0.058333333333333334,2.313936437544318,24
0.0,0.0,0.6666666666666666,2.0480322168611056,2
0.625,0.4166666666666667,0.0,1.9496932584963211,12
0.3958333333333333,0.7083333333333334,0.65,1.9136941291626899,24
0.3,0.6666666666666666,0.4,1.8984771869598627,24
0.6333333333333333,0.36666666666666664,0.55,1.8727116419212573,12
0.7041666666666667,0.44166666666666665,0.05,1.8533426031634004,24
0.3958333333333333,0.19583333333333333,0.5,1.8530092133240408,12
0.03333333333333333,0.07083333333333333,0.0,1.8446247655738028,12
0.9333333333333333,0.06666666666666667,0.5,1.839604878108464,6
0.85,0.85,0.5333333333333333,1.8154857262533042,12
0.6916666666666667,0.30833333333333335,0.26666666666666666,1.795720179879744,12
0.8041666666666667,0.19583333333333333,0.7666666666666667,1.7861051235681524,12
0.0,0.2916666666666667,0.0,1.719143886134504,6
0.6625,0.0,0.23333333333333334,1.691207290344409,12
0.6958333333333333,0.5458333333333333,0.0,1.6860188722452027,12
0.9,0.8041666666666667,0.5916666666666667,1.6844496062211642,24
0.6125,0.6125,0.6916666666666667,1.6823515837498675,12
0.6291666666666667,0.3541666666666667,0.6083333333333333,1.6789545322912864,24
0.6416666666666667,0.3541666666666667,0.5,1.670127321493164,12
