x,y,z,height,multiplicity
0.14583333333333334,0.5708333333333333,0.6416666666666667,2.3823025788956236,24
0.55,0.0,0.10833333333333334,1.711802952132831,12
0.4041666666666667,0.5958333333333333,0.4083333333333333,1.6815984450766115,12
0.5375,0.7416666666666667,0.0,1.4906714277945807,12
0.39166666666666666,0.6083333333333333,0.0,1.4322343077048765,6
0.075,0.4125,0.5,1.4261745395281038,12
0.4625,0.925,0.0,1.1954002589361445,6
0.24166666666666667,0.6208333333333333,0.0,1.184715678914866,6
0.38333333333333336,0.6916666666666667,0.275,1.1541423363504917,12
0.5,0.0,0.275,1.152235453917707,6
0.5375,0.4625,0.25833333333333336,1.099687435452799,12
0.0375,0.07916666666666666,0.0,1.0618339777077481,12
0.14583333333333334,0.44583333333333336,0.0,1.0319931875453427,12
0.0,0.0,0.1,1.007001324659302,2
0.6416666666666667,0.3375,0.3333333333333333,0.9961233494220902,24
0.38333333333333336,0.38333333333333336,0.0,0.9450935111078429,6
0.5,0.0,0.21666666666666667,0.9311343141280731,6
0.9958333333333333,0.38333333333333336,0.6916666666666667,0.913020039071295,24
0.6666666666666666,0.3333333333333333,0.35833333333333334,0.908934977836754,4
0.19166666666666668,0.8083333333333333,0.775,0.8919218738986667,12
0.725,0.45,0.0,0.8918814278891165,6
0.6333333333333333,0.36666666666666664,0.4583333333333333,0.8853506971409029,12
0.675,0.5833333333333334,0.0,0.8727001291018555,12
0.5916666666666667,0.6708333333333333,0.9666666666666667,0.8690661188176224,24
0.6916666666666667,0.45,0.0,0.8683524923086624,12
0.05,0.5375,0.7083333333333334,0.8680882165308353,24
0.6041666666666666,0.2875,0.35,0.8423175181395889,24
0.43333333333333335,0.9083333333333333,0.041666666666666664,0.8108665144600243,24
0.5,0.5,0.35,0.8078809775583508,6
0.7041666666666667,0.44583333333333336,0.058333333333333334,0.7985146711375611,24
0.7083333333333334,0.2875,0.9583333333333334,0.7760460884541628,24
0.0,0.0,0.3333333333333333,0.7728369254705728,2
0.9666666666666667,0.9333333333333333,0.06666666666666667,0.7710905234045577,12
0.6541666666666667,0.16666666666666666,0.16666666666666666,0.7669650374923164,24
0.6333333333333333,0.3333333333333333,0.6,0.7668264698793845,24
0.37916666666666665,0.6208333333333333,0.6083333333333333,0.7662551676284716,12
0.6458333333333334,0.3541666666666667,0.7333333333333333,0.7662213952416039,12
0.3125,0.8333333333333334,0.26666666666666666,0.7658066687558783,24
0.3625,0.6375,0.6166666666666667,0.7621017598368438,12
0.22916666666666666,0.6458333333333334,0.0,0.7573092035841039,12
0.3333333333333333,0.7166666666666667,0.25,0.7486535823436389,24
0.0,0.95,0.0,0.7473122671347597,6
0.65,0.5208333333333334,0.21666666666666667,0.7217581705156867,24
0.9208333333333333,0.4583333333333333,0.675,0.720100206981474,24
0.3541666666666667,0.4083333333333333,0.4166666666666667,0.7181486307409205,24
0.19583333333333333,0.8,0.4666666666666667,0.7173561864509184,24
