h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
2,6,7,0,12.55055583,2.579743642,12.17186543
2,6,8,3,30.37968789,3.431459524,28.26416847
2,6,9,3,9.024801573,4.061033797,5.831483796
2,6,10,4,81.78827953,10.65809389,69.67398365
2,6,11,2,0.1033290817,3.196458495,3.21191417
2,7,0,2,16.94332184,3.789856609,15.57451683
2,7,1,3,2.33142457,3.550587592,2.652934362
2,7,2,1,21.67201229,3.032735783,24.36483211
2,7,3,2,19.6723378,5.043499976,17.74506003
2,7,4,4,9.015857004,2.288258323,9.389414206
2,7,6,3,130.484373,13.74865831,138.6221826
3,0,1,3,122.841757,3.176171841,112.9519733
3,0,2,3,206.2656404,3.317900027,214.3792716
3,0,3,2,287.0160932,6.034537278,290.3510782
3,0,4,0,956.1283126,16.0176022,937.6181728
3,0,5,4,101.9065028,2.297034418,91.57633475
3,0,6,0,353.8512335,7.784904326,323.5485408
3,0,7,1,24.34388732,2.122777574,24.48746848
3,0,8,2,59.35070753,2.481171517,59.28182447
3,0,9,1,162.1942871,4.59873694,156.6471987
3,0,10,3,46.64083591,2.208964393,43.74612819
3,0,11,1,67.41660751,5.382031219,75.03145201
3,0,12,1,124.9159645,5.165944418,125.3382318
3,0,13,1,141.5161841,7.389767537,127.9057402
3,0,14,0,22.14850601,3.266357125,16.01464028
3,0,15,3,65.48613537,9.365926025,68.33178917
3,1,0,4,47.22145815,1.173252253,45.60335322
3,1,1,2,404.583941,5.223317217,392.0874529
3,1,2,3,300.0273193,4.288597359,286.1401771
3,1,3,4,124.6936644,2.284214228,122.5882518
3,1,4,3,127.5369697,2.926432207,120.8324715
3,1,5,2,32.47522292,1.079666577,28.76087383
3,1,6,3,165.3891916,2.984497538,164.8902297
3,1,7,3,5.610508529,0.9033193399,6.747220484
3,1,8,4,304.4819482,6.284831943,302.1195351
3,1,9,0,29.54762129,1.478131306,33.44095892
3,1,10,2,93.60665334,2.585247709,89.77521386
3,1,11,4,23.2321853,1.779727925,16.98670654
3,1,12,1,32.25774304,2.171414636,33.06479568
3,1,13,0,40.9185664,2.906755934,37.48462947
3,1,14,3,112.4623572,5.04353335,98.78648112
3,1,15,2,48.92599682,7.845349391,31.15720759
3,2,0,1,174.4813765,3.823849065,146.1958186
3,2,1,0,175.016198,2.467854195,171.4726276
3,2,2,4,515.6278133,6.400090176,509.1042158
3,2,3,2,564.3930982,7.727691517,544.3881951
3,2,4,1,80.34395037,2.002033688,72.17021755
3,2,5,2,317.2394018,4.796837617,333.2172883
3,2,6,4,103.6926656,2.317653323,103.8326974
3,2,7,4,135.1487928,3.078218635,137.2720501
3,2,8,1,134.1004861,4.141681272,130.6496757
3,2,9,3,327.1372176,7.096833218,327.2599114
3,2,10,0,245.4165008,7.009816672,242.7104864
3,2,11,0,21.66145082,2.135866271,17.8408028
3,2,12,2,77.64399107,4.46831554,75.56041627
3,2,13,3,32.14965517,3.068122868,37.06345558
3,2,14,2,35.8819387,3.124165092,33.31385157
3,2,15,2,14.2768708,4.764887778,14.43717439
3,3,0,3,279.3900112,8.6131673,260.624562
3,3,1,1,292.3912947,4.868650769,290.4391235
3,3,2,1,14.57383829,2.304008514,17.03500568
3,3,3,3,223.4977903,4.154126907,226.8714443
3,3,4,3,17.92647245,1.019334499,16.70901591
3,3,5,4,253.6079796,4.190882361,243.6194103
3,3,6,4,3.312707422,0.6291768879,2.868320604
3,3,7,3,309.3438578,5.037799542,307.7328368
3,3,8,0,45.62272323,2.050786396,44.49048512
3,3,9,0,35.10323344,2.649319123,34.96873133
3,3,10,3,12.6416589,1.840678326,11.8184022
3,3,11,0,75.22850662,3.952546543,80.96227347
3,3,12,0,29.38871232,2.666501369,26.85773597
3,3,13,0,15.49827209,2.904703257,11.06430564
3,3,14,2,9.04492222,3.871449126,9.110368498
3,4,0,1,14.01378945,1.583262577,13.17359215
3,4,1,2,270.6209998,4.884268714,276.6156446
3,4,2,0,28.4997124,1.794891876,28.08095178
3,4,3,0,516.4410127,8.481300565,517.4781998
3,4,4,0,126.4537718,3.075700843,126.7402859
3,4,5,0,104.5840422,2.641581742,112.9121319
3,4,6,1,5.71859092,0.9125924288,6.843194131
3,4,7,1,59.76809864,3.84939326,55.98826166
3,4,8,3,89.12341266,4.516102729,84.39266645
3,4,9,1,29.80902668,3.720134825,21.1713386
3,4,10,4,11.15679633,4.680303324,13.16093141
3,4,11,4,22.77280115,2.49152326,23.69419131
3,4,12,2,29.51201934,3.33595163,32.01354272
3,5,0,2,24.33511462,3.413438809,21.29018382
3,5,1,1,203.4763354,5.585707532,207.4648834
3,5,2,0,35.22317392,2.749382388,34.03591106
3,5,3,1,13.55203135,2.794441201,10.16530656
3,5,4,4,3.702184087,1.522999687,0.6473358009
3,5,5,4,65.21885564,3.092835953,62.63259934
3,5,6,1,44.29656065,4.100999314,42.56178758
3,5,7,2,59.79797023,4.230295331,53.20260156
3,5,8,2,15.56488558,2.494308579,11.84497157
3,5,9,3,14.76888463,2.618716385,7.841754028
3,5,10,1,39.23846088,3.755496358,32.54711962
3,6,0,0,6.658548104,4.114571893,5.3891612
3,6,1,4,80.94750133,4.677095795,71.70136461
3,6,2,3,19.52865483,2.580905664,19.23771886
3,6,3,2,172.6058451,9.702931595,157.9761221
3,6,4,4,40.14952295,4.312807809,32.87253308
3,6,5,3,10.925845,2.048475254,8.058126271
3,6,6,0,14.95501939,2.297450514,14.8082339
3,6,7,2,46.60959122,4.560387107,46.91392224
3,6,8,1,16.83416647,3.234430429,14.54159257
3,7,0,1,11.4550019,3.315274448,8.030161765
3,7,1,0,90.96017331,5.879833524,93.8834235
3,7,2,3,25.57115295,5.982203421,20.07763931
3,7,3,1,8.212252803,2.135033226,11.23505982
4,0,0,4,271.6183216,8.323174878,254.7257046
4,0,1,4,43.26840212,1.919050702,41.94446636
4,0,2,1,125.1914687,3.510711777,120.6273874
4,0,3,3,9.058345893,0.6536833889,10.6795738
4,0,4,1,291.0918074,4.588824446,278.6192712
4,0,5,4,2.49165641,0.4980344021,2.004871772
4,0,6,0,76.7047784,2.381148343,79.21019167
4,0,7,4,30.49755024,1.988185671,30.55873122
4,0,8,1,69.92404576,3.068381612,74.18402791
4,0,9,0,12.08954128,2.118980719,11.61733178
4,0,10,0,102.335659,5.399044444,95.12496319
4,0,11,2,87.02217796,5.859449768,83.13999557
4,0,12,0,39.18647902,5.946270453,38.28915563
4,0,13,0,6.487847216,2.472060258,11.07964446
4,0,14,3,99.7330677,8.135537425,110.1305092
4,1,0,1,437.838719,9.815369491,431.5622821
4,1,1,0,321.6941987,6.083711693,327.5378297
4,1,2,3,35.6604223,0.9899746124,35.90175305
4,1,3,4,27.74123106,1.231125365,27.06650267
4,1,4,1,143.1770464,2.659423498,140.7788997
4,1,5,2,102.6986363,2.307394494,103.6654891
4,1,6,3,161.509078,3.255876466,158.4796066
4,1,7,2,91.10171089,2.244229849,92.22345262
4,1,8,3,58.31359375,1.820912783,61.89201265
4,1,9,3,1.637306045,0.7270214043,2.587108002
4,1,10,3,18.91201553,1.41337962,18.80710759
4,1,11,1,55.19147971,2.503613642,56.38636443
4,1,12,4,136.574394,5.468761788,138.5053365
4,1,13,2,20.46767697,2.302568353,22.06620785
4,1,14,4,36.81040967,3.466387251,35.23752643
4,2,0,2,66.35578257,1.975581391,69.72920562
4,2,1,0,127.3955659,2.5919989,123.3207277
4,2,2,2,163.975443,2.98667958,158.9775698
4,2,3,2,178.7500665,3.304639062,174.6879493
4,2,4,1,11.58516059,0.7387301042,13.24832169
4,2,5,1,65.78765128,2.04193793,66.60316041
4,2,6,1,134.984311,3.289892426,135.7422821
4,2,7,3,110.7631898,3.205298402,113.5590812
4,2,8,3,114.3112105,3.944274071,120.7447893
4,2,9,1,46.4906986,2.403613608,48.02298345
4,2,10,4,150.0807637,5.396898849,154.5710985
4,2,11,1,36.57320819,2.83646252,41.55001456
4,2,12,3,8.130278359,1.728757982,7.392546034
4,2,13,0,0.5881725122,1.432094647,2.057362552
4,2,14,0,10.04464903,4.870726216,11.13867434
4,3,0,4,13.29331043,2.709877475,16.21338201
