h,k,l,heldout_fold,Fo2,sigma,heldout_predicted_Fc2
6,1,3,3,13.5309829,2.357212029,16.09826879
6,1,4,1,18.38654079,2.017511594,22.5762856
6,1,5,4,12.56796128,2.285469627,12.67617393
6,1,6,4,24.50031097,2.90497776,26.77605944
6,1,7,3,9.066500671,3.533620908,7.835898341
6,1,8,0,10.74445927,4.342663595,10.57761255
6,1,9,2,7.97231258,4.101356483,10.64017574
6,1,10,4,-3.575090127,3.299587625,2.012484246
6,2,0,0,92.83380046,6.073949903,90.50590576
6,2,1,0,88.37871702,4.740482447,97.08166063
6,2,2,0,3.968037173,1.162089368,4.867424766
6,2,3,0,0.6942233537,1.189621893,1.485469722
6,2,4,1,22.49144229,2.284366605,23.74807285
6,2,5,1,94.06337839,5.047043003,92.59654009
6,2,6,4,1.308372313,1.526873608,0.9230730604
6,2,7,0,72.88683204,5.778818319,65.17836753
6,2,8,2,-2.972930604,2.826607242,0.08275302377
6,2,9,4,-0.6254283667,3.10119,2.545013712
6,3,0,0,3.367183439,3.893733863,0.01578533715
6,3,1,0,-1.439201449,2.616243199,3.959222974
6,3,2,4,45.27705731,3.628319549,47.67988882
6,3,3,4,3.074783062,1.812168481,5.434517678
6,3,4,4,12.09389065,3.566909778,8.629275252
6,3,5,3,20.54396604,3.439966668,22.77837447
6,3,6,4,18.69510137,3.273699122,15.92809052
6,3,7,3,42.09214923,7.363334856,32.74747295
6,3,8,2,9.574589602,4.624672723,15.29005623
6,4,0,2,-6.083433483,3.70168635,0.5108665651
6,4,1,2,82.82334153,9.25715568,76.99935145
6,4,2,0,16.38942887,3.821428753,19.32527838
6,4,3,4,36.69353968,5.228548497,24.5599945
6,4,4,2,12.42920387,4.717750787,8.110661061
6,4,5,1,132.4243932,13.4814902,112.4352548
6,4,6,1,38.70179592,7.824746641,40.44966758
7,0,1,2,78.79855828,4.431753823,68.03642181
7,0,2,3,567.9580307,22.31479419,536.416471
7,0,3,4,-2.228368842,3.713386373,0.1301771374
7,0,4,4,23.06742326,6.051793962,14.91780417
7,0,5,3,35.73686555,7.078823718,27.34538391
7,1,0,1,280.9467618,11.46305946,242.2035864
7,1,1,3,26.56177567,2.515164898,29.39799829
7,1,2,1,73.39766685,3.941009482,63.44351394
7,1,3,0,88.47390962,11.2691452,81.87605714
7,1,4,4,148.8277482,8.352598789,127.2102686
7,1,5,0,35.23885612,5.329522701,28.78391455
7,2,0,0,-0.9694608431,1.914698485,3.445084655
7,2,1,3,39.11191898,3.430905885,46.39708909
7,2,2,4,10.76459157,3.079783779,10.89797503
7,2,3,4,19.01795143,3.044168857,15.9641314
7,2,4,2,106.2136029,12.51332653,121.0914548
7,2,6,3,22.95313165,5.533300953,25.63816271
7,2,7,0,73.67014856,9.542616726,80.79264376
7,3,0,3,5.083869595,5.552384188,5.386791405
7,3,1,0,1.836332633,1.586384772,0.7996019623
7,3,2,3,128.1060163,8.936007515,125.4767272
7,3,3,1,28.46071646,3.375785031,27.81461074
7,3,4,3,5.001457603,7.004522041,11.99809644
7,3,5,0,23.43319195,5.800482171,27.80045815
7,3,6,4,7.563084415,4.414526727,9.298142769
7,4,1,2,5.369525687,4.030949155,10.05261831
7,4,2,1,5.783127296,3.532049632,7.868882155
8,0,0,0,16.96920298,5.308814679,19.14142846
8,0,1,3,9.62066842,4.682431891,1.234216456
8,1,0,0,9.612059776,3.709500442,6.916987136
8,1,1,4,32.30404372,6.45404057,22.96847649
